CARLOS GOMES ,(PRB-RS.),"Sr. Presidente, este é um voto para que o nosso Presidente possa ter a oportunidade de se defender e mostrar a sua lisura. Eu voto “não” ao parecer.",NO
CARMEN ZANOTTO ,(PPS-SC.),"Sr. Presidente, pela autorização da investigação, voto “não” ao parecer do Relator.",NO
CELSO MALDANER ,(PMDB-SC.),"Sr. Presidente, pelo nosso Brasil, eu voto “sim”.",YES
MARA GABRILLI  ,(PSDB-SP.),"Sr. Presidente, como ninguém está acima da lei, eu voto “não”.",NO
CESAR SOUZA ,(PSD-SC.),"Sr. Presidente, a favor do Brasil, a favor do desenvolvimento e da geração de empregos, eu voto “sim”, com o Relator.",YES
DÉCIO LIMA ,(PT-SC.),"Sr. Presidente, esse relatório é um manto para a  impunidade.  O  Brasil  não  pode  continuar  sendo  governado  por  um  bandido, acompanhado de duas quadrilhas, que têm nome: PMDB e PSDB. Portanto, eu voto “não” ao relatório.",NO
ESPERIDIÃO  AMIN  ,(PP-SC.),"Sr.  Presidente,  voto  “sim”  à denúncia, pela investigação, e voto “não” ao relatório.",NO
GEOVANIA DE SÁ ,(PSDB-SC.),"Sr. Presidente, pela investigação, o meu voto é “não” ao relatório.",NO
JOÃO  PAULO  KLEINÜBING  ,(PSD-SC.),"Eu voto “sim” ao relatório, Sr. Presidente.",YES
JOÃO RODRIGUES ,(PSD-SC.),"Sr. Presidente, contra esse discurso baixo e sujo do PT e da Esquerda, que apoiou a corrupção durante 14 anos, eu voto pelo Brasil. Eu voto “sim”, pelo relatório do PSDB e do Deputado Paulo Abi-Ackel. “Sim”, Sr. Presidente.",YES
JORGE BOEIRA ,(PP-SC.),"Tenho nojo de quem desvia recurso público. Tenho nojo da corrupção. Tenho nojo dos corruptos. Fora, Temer! “Não”. ",NO
JORGINHO MELLO ,(PR-SC.),"Sr. Presidente, sou a favor de toda e qualquer investigação. Peço vênia ao meu partido e voto “não” ao relatório.",NO
MARCO TEBALDI ,(PSDB-SC.),"Voto “sim”, Sr. Presidente.",YES
MAURO  MARIANI  ,(PMDB-SC.),"Voto  “sim”,  com  o  relatório,  Sr. Presidente.",YES
PEDRO  UCZAI  ,(PT-SC.),"Um  ano  atrás,  foi  dado  um  golpe parlamentar  contra  uma  Presidenta  digna  e  honrada.  Hoje,  quer-se  dar  um  golpe parlamentar para proteger e salvar um dos políticos mais corruptos deste País. Fora, Temer! Meu voto é “não”.",NO
ROGÉRIO  PENINHA  MENDONÇA  ,(PMDB-SC.),"Pela  estabilidade política  e  econômica  do  Brasil;  pela  continuidade  das  reformas,  eu  voto  “sim”  ao relatório do Deputado Abi-Ackel, do PSDB.",YES
RONALDO  BENEDET  ,(PMDB-SC.),"Para o  bem  do  Brasil,  já  que a estabilidade  política  é  fundamental  para  continuar  crescendo  a  nossa  economia,  o meu voto é “sim”.",YES
VALDIR  COLATTO  ,(PMDB-SC.),"Sr.  Presidente,  para  consertar  o estrago que o PT fez nos seus 13 anos no Brasil; em homenagem a quem trabalha, produz  e  gera  empregos;  em  homenagem  àqueles  que  respeitam  a  agricultura brasileira, que segura este Brasil em pé, “sim”, Sr. Presidente.",YES
ANDRÉ ABDON ,(PP-AP.),"O meu voto é “sim”, com o relatório, Presidente.",YES
CABUÇU BORGES ,(PMDB-AP.),"Sr. Presidente, pela estabilidade do nosso País, por acreditar num Brasil empreendedor, o meu voto é “sim” ao relatório.",YES
JANETE  CAPIBERIBE  ,(PSB-AP.),"Ladrão  de  galinha  vai  para  a prisão, colarinho branco fica numa boa. Em homenagem ao povo brasileiro, eu voto “não”, para que Temer seja investigado e julgado. Fora, Temer! Diretas já!",NO
JOZI ARAÚJO ,(PODE-AP.),"Sr. Presidente, eu voto “sim” ao relatório do Deputado Paulo Abi-Ackel.",YES
PROFESSORA MARCIVANIA ,(PCdoB-AP.),"Com o meu voto hoje, eu  homenageio  oportunamente  Lima  Barreto,  que  certamente,  com  muito  pesar, dizia ser o Brasil o país da comilança. Hoje,  Deputados  e  Deputadas,  a  mesma  gula  que  outrora  “impeachmou”  a Presidenta Dilma pode impedir que o Supremo Tribunal Federal cumpra com o seu papel e continue com o processo de  investigação  e  consequente condenação do Presidente ilegítimo Michel Temer. Há pouco mais de 1 ano, eu dizia que achava que esta Casa era... Eu  voto  a  favor  do  Brasil.  Eu  voto não” ao relatório.",NO 
ROBERTO GÓES ,(PDT-AP.),"Voto “sim”, Sr. Presidente.",YES
VINICIUS  GURGEL  ,(PR-AP.),"Pela  estabilidade  econômica  e  pelo meu Estado do Amapá, eu voto “sim”.",YES
ARNALDO  JORDY  ,(PPS-PA.),"Sr.  Presidente,  em  favor  da investigação da grave denúncia que repousa sobre o Presidente Temer, nós somos contra o Relator da Comissão de Constituição e Justiça. O meu voto é “não”.",NO
